dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,instrumented_legacy,0.01,B1 B,0.0355,Intermediate,71,1.0,0.014084507042253521,0.02777777777777778,1,1.0,1.0,40.0,204.85,208.0,0.014084507042253521,0.014084507042253521,1,0.1,1,0.1
D11,GARQ,0,instrumented_legacy,0.01,CD14+ Mono,0.054,Intermediate,108,0.5096153846153846,0.9814814814814815,0.6708860759493671,1,0.5096153846153846,0.5096153846153846,160.0,203.2,208.0,0.0,0.9814814814814815,1,0.3333333333333333,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,162.0,205.6,208.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,CD4+ T activated,0.076,Intermediate,152,0.0,0.0,0.0,0,,,73.5,350.1999999999998,433.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,CD4+ T naive,0.03,Intermediate,60,0.375,0.05,0.08823529411764708,1,0.375,0.375,146.0,350.1999999999998,433.0,0.0,0.05,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,CD8+ T,0.4025,Common,805,0.7222723174030659,0.9950310559006211,0.8369905956112853,9,0.7095300616359476,0.7222723174030659,51.0,341.0,433.0,0.0,0.9950310559006211,9,0.8181818181818182,6,0.5454545454545454
D11,GARQ,0,instrumented_legacy,0.01,Erythroblast,0.0225,Intermediate,45,0.42857142857142855,0.13333333333333333,0.20338983050847456,1,0.42857142857142855,0.42857142857142855,50.0,150.59999999999997,162.0,0.0,0.13333333333333333,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,108.5,198.04999999999998,208.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,HSC,0.0075,Rare,15,0.0,0.0,0.0,0,,,181.5,206.95,208.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,Lymph prog,0.034,Intermediate,68,0.3333333333333333,0.04411764705882353,0.07792207792207792,1,0.3333333333333333,0.3333333333333333,161.0,234.64999999999998,249.0,0.0,0.04411764705882353,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,MK/E prog,0.0165,Intermediate,33,0.0,0.0,0.0,0,,,179.0,206.2,208.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,73.5,350.1999999999998,433.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,Naive CD20+ B,0.0825,Intermediate,165,0.6375,0.6181818181818182,0.6276923076923077,1,0.6375,0.6375,100.0,199.75,201.0,0.0,0.6181818181818182,1,0.16666666666666666,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,86.0,154.4,162.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,178.0,397.44999999999993,433.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,Proerythroblast,0.0805,Intermediate,161,0.6,0.9503105590062112,0.735576923076923,3,0.6062644408897638,0.6,40.0,161.4,162.0,0.0,0.9503105590062112,2,0.2857142857142857,1,0.14285714285714285
D11,GARQ,0,instrumented_legacy,0.01,Transitional B,0.0595,Intermediate,119,0.4110169491525424,0.8151260504201681,0.5464788732394367,2,0.42653061224489797,0.4110169491525424,162.0,205.6,208.0,0.0,0.8151260504201681,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,cDC2,0.021,Intermediate,42,0.0,0.0,0.0,0,,,208.0,396.2,433.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,instrumented_legacy,0.01,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,96.0,196.79999999999998,208.0,0.0,0.0,0,0.0,0,0.0
